phase,dataset,budget,method,comparator,mean_error_difference,difference_ci_low,difference_ci_high,relative_error_reduction,reduction_ci_low,reduction_ci_high,query_count,bootstrap_resamples,bootstrap_seed
test,cifar10,64,final,deann,-0.030278765915445635,-0.04597905609946703,-0.016080078028109845,0.13795105500662896,0.07590107664586491,0.20399260775118927,200,1000,20260916
test,cifar10,64,final,matched_single,-0.07659723657290629,-0.09245666158560271,-0.06046657557165992,0.28816789984902835,0.23549502758453714,0.33624624449101764,200,1000,20260916
test,cifar10,64,final,matched_neyman,0.007630562847932818,-0.005805852076615226,0.0211126903921768,-0.04202317710515002,-0.11917551348734431,0.03141956837197769,200,1000,20260916
test,cifar10,128,final,current_approx,-0.09290147482618695,-0.10880668509705083,-0.07815488483910134,0.4525263704840272,0.40440844374073326,0.4967039378519548,200,1000,20260916
test,cifar10,128,final,uniform_mc,-0.10750453345384742,-0.12259420957339848,-0.09316861547733445,0.4888831425530772,0.44876428791280215,0.5242880843687528,200,1000,20260916
test,cifar10,128,final,deann,-0.01691282933280288,-0.02593381468792833,-0.008257756174637473,0.13079641851291035,0.06535854304947188,0.19621308148901345,200,1000,20260916
test,cifar10,128,final,matched_single,-0.036493313301955335,-0.0448084523442943,-0.027512998372032346,0.24510745081258367,0.1912780968906165,0.29427568497958967,200,1000,20260916
test,cifar10,128,final,matched_neyman,0.013839726929705287,0.006299625806268353,0.0220063308753762,-0.14042791183561354,-0.22850574419457537,-0.0629026671931948,200,1000,20260916
test,cifar10,256,final,current_approx,-0.07939700487732321,-0.08823594547359156,-0.07053007253138088,0.5736157395826702,0.5409075118780386,0.6044655017262188,200,1000,20260916
test,cifar10,256,final,uniform_mc,-0.09388049392993182,-0.10448070679230888,-0.08346391026923569,0.6140054978708276,0.5812916441609776,0.6425399184388922,200,1000,20260916
test,cifar10,256,final,deann,-0.022812379062048836,-0.028218000473194237,-0.01719395334478691,0.27877652888397264,0.22122636194970766,0.3280020872861112,200,1000,20260916
test,cifar10,256,final,matched_single,-0.018669399461189815,-0.02282600449838515,-0.014659641181868532,0.24031449353757695,0.19385871914732983,0.28392136688683905,200,1000,20260916
test,cifar10,256,final,matched_neyman,0.0076935437375399976,0.0040674787749191916,0.011152956259198807,-0.14990025533268447,-0.2279529671880017,-0.07735540894588515,200,1000,20260916
test,cifar10,512,final,current_approx,-0.06874402465750172,-0.07600547528207485,-0.061564880107077745,0.7319451375578228,0.7030976816294242,0.7568158824412364,200,1000,20260916
test,cifar10,512,final,uniform_mc,-0.07446530984573335,-0.08339411542752093,-0.06654303161971817,0.7473365873421198,0.7200566675131976,0.7732190702737135,200,1000,20260916
test,cifar10,512,final,deann,-0.019924910829558388,-0.022836332042799026,-0.01691355643793135,0.4417888662218825,0.3959689876470208,0.4808569249226791,200,1000,20260916
test,cifar10,512,final,matched_single,-0.010186782428223356,-0.012306373605577226,-0.007976550755905776,0.2880681950454068,0.23235069438433267,0.3360223813495672,200,1000,20260916
test,cifar10,512,final,matched_neyman,0.0030032472695013623,0.0013811925882636082,0.004700693025670197,-0.13544999363526067,-0.21645960729026648,-0.05958212498582746,200,1000,20260916
