dataset,phase,n,profile_total_mean_ms,original_sort_mean_ms,original_id_gather_mean_ms,original_slicing_mean_ms,original_sorting_and_strata_mean_ms,projection_mean_ms,low_dim_score_mean_ms,sampling_mean_ms,allocation_mean_ms,kernel_mean_ms,aggregation_mean_ms,kernel_id_accounting_mean_ms,selected_original_vector_copy_mean_ms,original_distance_mean_ms,kernel_log_mean_ms
amazon,test,720,1.4315696466666668,0.030108701666666668,0.0012751866666666667,0.021795356666666668,0.05355680333333334,0.1538463466666667,0.016797306666666668,0.07214255166666667,0.03825174,1.0165363,0.025859138333333333,0.0029769183333333334,0.6091916700000001,0.394874245,0.005468751666666667
cifar10,test,1800,0.6952804666666667,0.08348149166666667,0.0019645983333333333,0.020943048333333332,0.10679087333333334,0.032941576666666667,0.02514012,0.07082559666666667,0.03612318666666667,0.34696124,0.026084775,0.0029609933333333335,0.19695349333333334,0.13736338,0.005337931666666666
isolet,test,1800,0.3770140083333334,0.08346217333333333,0.0020257783333333334,0.019485613333333335,0.10536782833333334,0.011862975,0.018717988333333335,0.069452445,0.035175508333333334,0.071845125,0.023943806666666668,0.002598926666666667,0.030370301666666665,0.03316547666666667,0.0030505583333333332
cifar10_gist512,test,1800,0.35917434000000004,0.08247340833333335,0.0018947433333333333,0.019173728333333334,0.10393574333333333,0.009184661666666667,0.017852843333333333,0.06863572166666666,0.03408615166666666,0.06315613166666667,0.023291029999999997,0.00260429,0.025824555,0.029235064999999998,0.002939721666666667
cifar10,audit,1800,0.6878511816666666,0.08339136833333333,0.00199968,0.020947313333333332,0.10672498166666668,0.029180479999999998,0.022517551666666667,0.07522671,0.036652021666666666,0.34030716833333335,0.026007033333333332,0.0028813533333333333,0.19086686666666666,0.13666836999999998,0.00563634
isolet,audit,1800,0.385978405,0.08342532333333333,0.001938515,0.020823051666666665,0.10658142166666666,0.011483848333333333,0.01942515333333333,0.07345396333333333,0.03546313833333334,0.074132165,0.023949951666666667,0.0025874866666666667,0.032543419999999997,0.03338984166666667,0.0031099533333333335
cifar10_gist512,audit,1800,0.36579455833333335,0.08197204833333334,0.0019537583333333335,0.01933378666666667,0.103648995,0.012868473333333333,0.018378621666666668,0.07191168166666667,0.034453243333333335,0.06173416333333333,0.023060031666666665,0.0025442966666666665,0.025117526666666667,0.028596833333333332,0.0030203316666666665
cifar10_gist512,audit,20000,1.6615327033333334,1.2443220933333332,0.01453824,0.02456277,1.2838331266666667,0.013105440000000001,0.08766677666666667,0.07505545666666666,0.04330903666666667,0.08527981333333334,0.02520984,0.0031534466666666666,0.04291623000000001,0.032329116666666664,0.00388816
