dataset,phase,n,method,axis,target,baseline_method,baseline_budget,baseline_value,candidate_budget,candidate_value,relative_gain
isolet,test,1800,ann_T_multi,error_target,0.1,official_T,256.0,0.142374,256.0,0.6535885,-3.590645061598326
isolet,test,1800,ann_T_multi,error_target,0.15,official_T,128.0,0.1211815,128.0,0.5669175,-3.678251218214001
isolet,test,1800,ann_T_multi,error_target,0.2,official_T,128.0,0.1211815,128.0,0.5669175,-3.678251218214001
amazon,test,720,ann_O_multi,time_cap_ms,0.125,,,,,,
amazon,test,720,ann_O_multi,time_cap_ms,0.25,,,,,,
amazon,test,720,ann_O_multi,time_cap_ms,0.5,uniform_mc,32.0,0.2539216220381336,,,
amazon,test,720,ann_O_multi,time_cap_ms,1.0,projected_current,32.0,0.1723340023596204,,,
amazon,test,720,ann_O_multi,time_cap_ms,2.0,projected_current,128.0,0.0676344512138681,,,
amazon,test,720,ann_O_multi,time_cap_ms,4.0,exact,0.0,0.0,128.0,0.0419995345801123,
amazon,test,720,ann_T_multi,time_cap_ms,0.125,,,,,,
amazon,test,720,ann_T_multi,time_cap_ms,0.25,,,,,,
amazon,test,720,ann_T_multi,time_cap_ms,0.5,uniform_mc,32.0,0.2539216220381336,,,
amazon,test,720,ann_T_multi,time_cap_ms,1.0,projected_current,32.0,0.1723340023596204,,,
amazon,test,720,ann_T_multi,time_cap_ms,2.0,projected_current,128.0,0.0676344512138681,32.0,0.1546570255260795,-1.2866604629796692
amazon,test,720,ann_T_multi,time_cap_ms,4.0,exact,0.0,0.0,128.0,0.0663427046339076,
cifar10,audit,1800,ann_E_multi,time_cap_ms,0.125,,,,,,
cifar10,audit,1800,ann_E_multi,time_cap_ms,0.25,official_T,64.0,0.2951718630466838,,,
cifar10,audit,1800,ann_E_multi,time_cap_ms,0.5,official_T,256.0,0.1143069143903121,,,
cifar10,audit,1800,ann_E_multi,time_cap_ms,1.0,official_O,512.0,0.0467013718059816,,,
cifar10,audit,1800,ann_E_multi,time_cap_ms,2.0,projected_current,512.0,0.0260222301796954,64.0,0.1460899620855586,-4.614044648623143
cifar10,audit,1800,ann_E_multi,time_cap_ms,4.0,exact,0.0,0.0,512.0,0.0082752990610829,
cifar10,audit,1800,ann_T_multi,time_cap_ms,0.125,,,,,,
cifar10,audit,1800,ann_T_multi,time_cap_ms,0.25,official_T,64.0,0.2951718630466838,,,
cifar10,audit,1800,ann_T_multi,time_cap_ms,0.5,official_T,256.0,0.1143069143903121,,,
cifar10,audit,1800,ann_T_multi,time_cap_ms,1.0,official_O,512.0,0.0467013718059816,128.0,0.1475540973053524,-2.1595238340826084
cifar10,audit,1800,ann_T_multi,time_cap_ms,2.0,projected_current,512.0,0.0260222301796954,256.0,0.0942941510358039,-2.6235999137913875
cifar10,audit,1800,ann_T_multi,time_cap_ms,4.0,exact,0.0,0.0,512.0,0.0651101388618615,
cifar10,test,1800,ann_E_multi,time_cap_ms,0.125,,,,,,
cifar10,test,1800,ann_E_multi,time_cap_ms,0.25,official_T,64.0,0.2672848100914168,,,
cifar10,test,1800,ann_E_multi,time_cap_ms,0.5,official_T,256.0,0.1155662812990853,,,
cifar10,test,1800,ann_E_multi,time_cap_ms,1.0,official_O,512.0,0.0451005273173886,,,
cifar10,test,1800,ann_E_multi,time_cap_ms,2.0,projected_current,512.0,0.0251756164878303,64.0,0.1390990067009183,-4.525147984684216
cifar10,test,1800,ann_E_multi,time_cap_ms,4.0,exact,0.0,0.0,512.0,0.0089159687352369,
cifar10,test,1800,ann_T_multi,time_cap_ms,0.125,,,,,,
cifar10,test,1800,ann_T_multi,time_cap_ms,0.25,official_T,64.0,0.2672848100914168,,,
cifar10,test,1800,ann_T_multi,time_cap_ms,0.5,official_T,256.0,0.1155662812990853,,,
cifar10,test,1800,ann_T_multi,time_cap_ms,1.0,official_O,512.0,0.0451005273173886,64.0,0.2063490924546813,-3.57531440824469
cifar10,test,1800,ann_T_multi,time_cap_ms,2.0,projected_current,512.0,0.0251756164878303,256.0,0.1020965455253673,-3.0553741980745537
cifar10,test,1800,ann_T_multi,time_cap_ms,4.0,exact,0.0,0.0,512.0,0.0610354889424835,
cifar10_gist512,audit,1800,ann_E_multi,time_cap_ms,0.125,official_T,256.0,0.100893452512572,,,
cifar10_gist512,audit,1800,ann_E_multi,time_cap_ms,0.25,official_O,512.0,0.0447064538321026,,,
cifar10_gist512,audit,1800,ann_E_multi,time_cap_ms,0.5,exact,0.0,0.0,,,
cifar10_gist512,audit,1800,ann_E_multi,time_cap_ms,1.0,exact,0.0,0.0,512.0,0.0175470514814906,
cifar10_gist512,audit,1800,ann_E_multi,time_cap_ms,2.0,exact,0.0,0.0,512.0,0.0175470514814906,
