dataset,phase,n,method,time_cap_ms,attained,budget,error
cifar10_gist512,test,1800,projected_fast,0.25,False,,
cifar10_gist512,test,1800,projected_fast,0.5,True,256.0,0.06464755794310514
cifar10_gist512,test,1800,projected_fast,1.0,True,512.0,0.031013627653907205
cifar10_gist512,test,1800,projected_fast,2.0,True,512.0,0.031013627653907205
cifar10_gist512,test,1800,projected_fast,4.0,True,512.0,0.031013627653907205
cifar10_gist512,test,1800,uniform_mc,0.125,True,64.0,0.23920853944676865
cifar10_gist512,test,1800,uniform_mc,0.25,True,256.0,0.1157266829742556
cifar10_gist512,test,1800,uniform_mc,0.5,True,512.0,0.07831226983475985
cifar10_gist512,test,1800,uniform_mc,1.0,True,512.0,0.07831226983475985
cifar10_gist512,test,1800,uniform_mc,2.0,True,512.0,0.07831226983475985
cifar10_gist512,test,1800,uniform_mc,4.0,True,512.0,0.07831226983475985
isolet,audit,1800,ann_E_multi,0.125,False,,
isolet,audit,1800,ann_E_multi,0.25,False,,
isolet,audit,1800,ann_E_multi,0.5,False,,
isolet,audit,1800,ann_E_multi,1.0,True,512.0,0.010653996815225986
isolet,audit,1800,ann_E_multi,2.0,True,512.0,0.010653996815225986
isolet,audit,1800,ann_E_multi,4.0,True,512.0,0.010653996815225986
isolet,audit,1800,ann_E_single,0.125,False,,
isolet,audit,1800,ann_E_single,0.25,False,,
isolet,audit,1800,ann_E_single,0.5,True,256.0,0.03526577478839019
isolet,audit,1800,ann_E_single,1.0,True,512.0,0.01362485341440827
isolet,audit,1800,ann_E_single,2.0,True,512.0,0.01362485341440827
isolet,audit,1800,ann_E_single,4.0,True,512.0,0.01362485341440827
isolet,audit,1800,ann_T_multi,0.125,False,,
isolet,audit,1800,ann_T_multi,0.25,False,,
isolet,audit,1800,ann_T_multi,0.5,False,,
isolet,audit,1800,ann_T_multi,1.0,True,512.0,0.03107500902516848
isolet,audit,1800,ann_T_multi,2.0,True,512.0,0.03107500902516848
isolet,audit,1800,ann_T_multi,4.0,True,512.0,0.03107500902516848
isolet,audit,1800,ann_T_single,0.125,False,,
isolet,audit,1800,ann_T_single,0.25,False,,
isolet,audit,1800,ann_T_single,0.5,True,256.0,0.07331922648586081
isolet,audit,1800,ann_T_single,1.0,True,512.0,0.0378174028554476
isolet,audit,1800,ann_T_single,2.0,True,512.0,0.0378174028554476
isolet,audit,1800,ann_T_single,4.0,True,512.0,0.0378174028554476
isolet,audit,1800,exact,0.125,False,,
isolet,audit,1800,exact,0.25,False,,
isolet,audit,1800,exact,0.5,True,0.0,0.0
isolet,audit,1800,exact,1.0,True,0.0,0.0
isolet,audit,1800,exact,2.0,True,0.0,0.0
isolet,audit,1800,exact,4.0,True,0.0,0.0
isolet,audit,1800,exact_annular,0.125,False,,
isolet,audit,1800,exact_annular,0.25,False,,
isolet,audit,1800,exact_annular,0.5,False,,
isolet,audit,1800,exact_annular,1.0,True,512.0,0.04998018964052015
isolet,audit,1800,exact_annular,2.0,True,512.0,0.04998018964052015
