dataset,phase,n,method,budget,mean_relative_error,median_error,p90_error,se_query_cluster,median_latency_ms,queries,actual_kernel_evaluations,actual_samples
amazon,test,720,projected_fast,128,0.06791241427766537,0.0667036964899917,0.10232098418845278,0.0020844442167680887,1.8435355,200,128.0,128.0
amazon,test,720,projected_fast,256,0.035672931400656915,0.033888469824716105,0.056294439003230584,0.0010807537444577945,3.4716915,200,256.0,256.0
amazon,test,720,projected_fast,512,0.012826110660690098,0.0126437153422217,0.021554948696105962,0.0004245385446789695,19.8889195,200,512.0,512.0
amazon,test,720,uniform_mc,32,0.2539216220381336,0.20234937428330352,0.34545685043505314,0.024725729988750396,0.420678,200,32.0,32.0
amazon,test,720,uniform_mc,64,0.20754059612339493,0.14012198195988623,0.27292919735912613,0.02355820748087436,0.7689895,200,64.0,64.0
amazon,test,720,uniform_mc,128,0.14773525773376023,0.09287532034409801,0.17961967189873665,0.01860833219633237,1.4878335,200,128.0,128.0
amazon,test,720,uniform_mc,256,0.10827364730387959,0.060175080997118505,0.0966188885968159,0.01727820308110178,3.1317125,200,256.0,256.0
amazon,test,720,uniform_mc,512,0.04751474073214367,0.027225149789387802,0.050531834100829315,0.0064348787145676435,19.4284685,200,512.0,512.0
cifar10,test,1800,ann_E_multi,32,0.25920749144786653,0.2521899808434052,0.37370036512530863,0.006354282374719803,1.852112,200,32.0,32.0
cifar10,test,1800,ann_E_multi,64,0.13909900670091832,0.13550451636747823,0.20144150821143086,0.0033491168599771074,1.9761155,200,64.0,64.0
cifar10,test,1800,ann_E_multi,128,0.06658486107968704,0.0637408563980152,0.09938800185718853,0.0015882092035675967,2.102178,200,128.0,128.0
cifar10,test,1800,ann_E_multi,256,0.028120457496142847,0.027394984195278603,0.04424729255414792,0.0008022582544478312,2.578878,200,256.0,256.0
cifar10,test,1800,ann_E_multi,512,0.008915968735236908,0.0087183388797801,0.014787232838021903,0.00031264390750935627,3.480822,200,512.0,512.0
cifar10,test,1800,ann_E_single,32,0.36899981839719986,0.3614070996836766,0.5448291638373833,0.009601747120281563,1.5849745,200,32.0,32.0
cifar10,test,1800,ann_E_single,64,0.20706682396298404,0.20363416082792463,0.2784444149324312,0.004323248279569488,1.714788,200,64.0,64.0
cifar10,test,1800,ann_E_single,128,0.10007787275257556,0.09705534270818561,0.14545032033520083,0.0024778364713581007,1.8338175,200,128.0,128.0
cifar10,test,1800,ann_E_single,256,0.041967580260528034,0.0420958185281755,0.06483450565222013,0.0012264717928249305,2.2903615,200,256.0,256.0
cifar10,test,1800,ann_E_single,512,0.012733092537355656,0.012240658702694302,0.02119639104407972,0.0004618228569218164,3.1829165,200,512.0,512.0
cifar10,test,1800,ann_T_multi,32,0.2940896357679439,0.2446411128906068,0.48071433900083094,0.012889421909942167,0.7396725,200,32.0,32.0
cifar10,test,1800,ann_T_multi,64,0.20634909245468136,0.182526310408213,0.33995421848526336,0.007601318050524157,0.835556,200,64.0,64.0
cifar10,test,1800,ann_T_multi,128,0.14344798005068468,0.12451207261715891,0.24701768556334278,0.005248330961169235,1.0009845,200,128.0,128.0
cifar10,test,1800,ann_T_multi,256,0.10209654552536733,0.09049754692618692,0.17279221769514666,0.0040715247771531595,1.359391,200,256.0,256.0
cifar10,test,1800,ann_T_multi,512,0.06103548894248359,0.0574305356142826,0.09185262388015064,0.0021229174865581802,2.167742,200,512.0,512.0
cifar10,test,1800,ann_T_single,32,0.38990161516128696,0.36921491919075267,0.5987292036699366,0.011572865631950044,0.447383,200,32.0,32.0
cifar10,test,1800,ann_T_single,64,0.2882065057428226,0.25924191253098094,0.46550868007821244,0.010002262554865181,0.555866,200,64.0,64.0
cifar10,test,1800,ann_T_single,128,0.18123217632189625,0.1717134092587686,0.25724394211900214,0.005035681838787315,0.725907,200,128.0,128.0
cifar10,test,1800,ann_T_single,256,0.1266616134685227,0.11931956330806391,0.19403039094900684,0.0036360215441058525,1.068884,200,256.0,256.0
cifar10,test,1800,ann_T_single,512,0.08053602689042616,0.07329401491498871,0.12942052544953025,0.0026201690236908473,1.864744,200,512.0,512.0
cifar10,test,1800,exact,32,0.0,0.0,0.0,0.0,2.787868,200,1800.0,1800.0
cifar10,test,1800,exact,64,0.0,0.0,0.0,0.0,2.730641,200,1800.0,1800.0
cifar10,test,1800,exact,128,0.0,0.0,0.0,0.0,2.435951,200,1800.0,1800.0
cifar10,test,1800,exact,256,0.0,0.0,0.0,0.0,2.3957755,200,1800.0,1800.0
cifar10,test,1800,exact,512,0.0,0.0,0.0,0.0,2.334655,200,1800.0,1800.0
cifar10,test,1800,exact_annular,32,0.17543404813837413,0.15086346275159812,0.2978180674278159,0.0068615646864696915,3.0389985,200,32.0,32.0
cifar10,test,1800,exact_annular,64,0.12979950783691346,0.11823530504125232,0.22358628569409017,0.004422977414244402,2.9963355,200,64.0,64.0
cifar10,test,1800,exact_annular,128,0.09431232483717966,0.084128975462363,0.15395774661258158,0.0034973286057304338,2.695552,200,128.0,128.0
cifar10,test,1800,exact_annular,256,0.06602088606840222,0.060973465275412905,0.1081641065788805,0.00229473467464423,2.6672695,200,256.0,256.0
cifar10,test,1800,exact_annular,512,0.04404600097422495,0.03976312524208141,0.0735011556959702,0.001728285262845752,2.627073,200,512.0,512.0
cifar10,test,1800,official_E,32,0.38690870986055687,0.36782920655281726,0.5920932935010661,0.010481102518615277,1.3785685,200,32.28,32.0
cifar10,test,1800,official_E,64,0.21539246330581371,0.2085735500593626,0.3038976004636372,0.005141836494230528,1.4657365,200,65.17,64.0
cifar10,test,1800,official_E,128,0.10427094957848139,0.09999700344832951,0.15304531966523585,0.0025966541420204357,1.5132745,200,132.67,128.0
cifar10,test,1800,official_E,256,0.04343674848422329,0.042678312126359204,0.06662657098073099,0.0012308933512293525,1.8268135,200,275.588,256.0
cifar10,test,1800,official_E,512,0.012996411642284846,0.012800488661237302,0.020597674980921958,0.0004489882041912171,2.5009775,200,596.808,512.0
cifar10,test,1800,official_O,32,0.37799271360760417,0.36874609627343613,0.5634382405867039,0.010388739256415654,0.48396,200,32.18,32.0
cifar10,test,1800,official_O,64,0.21948919429424155,0.2053910990300531,0.33265280968218763,0.005554879578466381,0.5334225,200,64.806,64.0
cifar10,test,1800,official_O,128,0.12930651714391883,0.12557925757273258,0.19323834900644843,0.0034464443061653287,0.544992,200,131.502,128.0
cifar10,test,1800,official_O,256,0.08183034329817372,0.0735360620684234,0.12996209098972056,0.002618465310165012,0.6788935,200,269.978,256.0
cifar10,test,1800,official_O,512,0.045100527317388686,0.041570771740577606,0.07513689782506595,0.0015385153516724174,0.9986735,200,570.74,512.0
cifar10,test,1800,official_T,32,0.39744988420614574,0.35690840377617683,0.6569846650707476,0.012895844983518848,0.2129045,200,32.132,32.0
cifar10,test,1800,official_T,64,0.2672848100914168,0.24959038446035392,0.4212613638011507,0.008266156909894958,0.241034,200,64.462,64.0
