dataset,phase,n,method,budget,error,latency_ms,dominated_by_any,dominated_by_existing,any_dominator_method,any_dominator_budget,existing_dominator_method,existing_dominator_budget
cifar10_gist512,test,1800,ann_T_single,512,0.0589495901294891,0.514693,True,True,official_O,512.0,official_O,512.0
cifar10_gist512,test,1800,exact_annular,32,0.1414261157758689,0.5846375,True,True,official_T,256.0,official_T,256.0
cifar10_gist512,test,1800,exact_annular,64,0.1074255013372298,0.58505,True,True,official_T,256.0,official_T,256.0
cifar10_gist512,test,1800,exact_annular,128,0.0770238313739866,0.5938255,True,True,official_T,512.0,official_T,512.0
cifar10_gist512,test,1800,exact_annular,256,0.0506202342331788,0.6068465,True,True,official_O,512.0,official_O,512.0
cifar10_gist512,test,1800,exact_annular,512,0.0330507787983899,0.6112555,True,True,official_E,512.0,official_E,512.0
cifar10_gist512,test,1800,official_E,32,0.2787384422327001,0.2316245,True,True,official_T,64.0,official_T,64.0
cifar10_gist512,test,1800,official_E,64,0.1732106086644347,0.238705,True,True,official_T,128.0,official_T,128.0
cifar10_gist512,test,1800,official_E,128,0.1031136143927495,0.259153,True,True,official_T,256.0,official_T,256.0
cifar10_gist512,test,1800,official_E,256,0.0528268723726777,0.292426,True,True,official_O,512.0,official_O,512.0
cifar10_gist512,test,1800,official_E,512,0.0224331789119556,0.3421565,False,False,,,,
cifar10_gist512,test,1800,official_O,32,0.2909143284669532,0.110939,True,True,official_T,64.0,official_T,64.0
cifar10_gist512,test,1800,official_O,64,0.1869170271750474,0.1195785,True,True,official_T,128.0,official_T,128.0
cifar10_gist512,test,1800,official_O,128,0.1218636123527581,0.1433545,True,True,official_T,256.0,official_T,256.0
cifar10_gist512,test,1800,official_O,256,0.068019015228937,0.1746925,True,True,official_T,512.0,official_T,512.0
cifar10_gist512,test,1800,official_O,512,0.0403524562779594,0.2274145,False,False,,,,
cifar10_gist512,test,1800,official_T,32,0.299288252497372,0.0854665,False,False,,,,
cifar10_gist512,test,1800,official_T,64,0.2132181446518524,0.0924255,False,False,,,,
cifar10_gist512,test,1800,official_T,128,0.1428444978141611,0.1068435,False,False,,,,
cifar10_gist512,test,1800,official_T,256,0.0991515215082168,0.1276655,False,False,,,,
cifar10_gist512,test,1800,official_T,512,0.059490735922475,0.156999,False,False,,,,
cifar10_gist512,test,1800,projected_current,32,0.2532687191163018,0.333309,True,True,official_T,64.0,official_T,64.0
cifar10_gist512,test,1800,projected_current,64,0.1685895995305806,0.355066,True,True,official_T,128.0,official_T,128.0
cifar10_gist512,test,1800,projected_current,128,0.1054942347542199,0.400343,True,True,official_T,256.0,official_T,256.0
cifar10_gist512,test,1800,projected_current,256,0.063247594414528,0.4903985,True,True,official_T,512.0,official_T,512.0
cifar10_gist512,test,1800,projected_current,512,0.0327044407141133,0.6081155,True,True,official_E,512.0,official_E,512.0
cifar10_gist512,test,1800,projected_fast,32,0.2472923559211583,0.3357325,True,True,official_T,64.0,official_T,64.0
cifar10_gist512,test,1800,projected_fast,64,0.164811482949716,0.357648,True,True,official_T,128.0,official_T,128.0
cifar10_gist512,test,1800,projected_fast,128,0.1098275993832647,0.4033555,True,True,official_T,256.0,official_T,256.0
cifar10_gist512,test,1800,projected_fast,256,0.0646475579431051,0.494461,True,True,official_T,512.0,official_T,512.0
cifar10_gist512,test,1800,projected_fast,512,0.0310136276539072,0.611166,True,True,official_E,512.0,official_E,512.0
cifar10_gist512,test,1800,uniform_mc,32,0.3211293743494892,0.1068585,True,True,official_T,32.0,official_T,32.0
cifar10_gist512,test,1800,uniform_mc,64,0.2392085394467686,0.122424,True,True,official_T,64.0,official_T,64.0
cifar10_gist512,test,1800,uniform_mc,128,0.1589022141647225,0.1587845,True,True,official_T,128.0,official_T,128.0
cifar10_gist512,test,1800,uniform_mc,256,0.1157266829742556,0.2357515,True,True,official_T,256.0,official_T,256.0
cifar10_gist512,test,1800,uniform_mc,512,0.0783122698347598,0.3478135,True,True,official_T,512.0,official_T,512.0
cifar10_gist512,test,1800,exact,0,0.0,0.383094,False,False,,,,
isolet,audit,1800,ann_E_multi,32,0.2864469203773522,0.565256,True,True,official_T,64.0,official_T,64.0
isolet,audit,1800,ann_E_multi,64,0.1417709866965502,0.577396,True,True,official_T,256.0,official_T,256.0
isolet,audit,1800,ann_E_multi,128,0.0658105995826637,0.625809,True,True,official_T,512.0,official_T,512.0
isolet,audit,1800,ann_E_multi,256,0.0257702243874254,0.718162,True,True,official_E,512.0,official_E,512.0
isolet,audit,1800,ann_E_multi,512,0.0106539968152259,0.9143145,True,True,exact,0.0,exact,0.0
isolet,audit,1800,ann_E_single,32,0.3755311421526236,0.3273495,True,True,official_T,64.0,official_T,64.0
isolet,audit,1800,ann_E_single,64,0.186108247436659,0.3400805,True,True,official_T,128.0,official_T,128.0
isolet,audit,1800,ann_E_single,128,0.0880694557808367,0.3865695,True,True,official_T,256.0,official_T,256.0
isolet,audit,1800,ann_E_single,256,0.0352657747883901,0.4721885,True,True,official_E,256.0,official_E,256.0
isolet,audit,1800,ann_E_single,512,0.0136248534144082,0.6694355,True,True,official_E,512.0,official_E,512.0
isolet,audit,1800,ann_T_multi,32,0.331104502512877,0.5212685,True,True,official_T,64.0,official_T,64.0
isolet,audit,1800,ann_T_multi,64,0.2070518224589393,0.520581,True,True,official_T,128.0,official_T,128.0
isolet,audit,1800,ann_T_multi,128,0.1101889655802908,0.5710355,True,True,official_T,256.0,official_T,256.0
isolet,audit,1800,ann_T_multi,256,0.0571165591428424,0.6593805,True,True,official_T,512.0,official_T,512.0
isolet,audit,1800,ann_T_multi,512,0.0310750090251684,0.8198115,True,True,official_O,512.0,official_O,512.0
isolet,audit,1800,ann_T_single,32,0.4271800164362399,0.2670705,True,True,official_T,32.0,official_T,32.0
isolet,audit,1800,ann_T_single,64,0.2484510312393059,0.2850185,True,True,official_T,64.0,official_T,64.0
isolet,audit,1800,ann_T_single,128,0.1466691341509656,0.3302545,True,True,official_T,128.0,official_T,128.0
isolet,audit,1800,ann_T_single,256,0.0733192264858608,0.416426,True,True,official_T,512.0,official_T,512.0
isolet,audit,1800,ann_T_single,512,0.0378174028554476,0.5748475,True,True,official_E,256.0,official_E,256.0
isolet,audit,1800,exact_annular,32,0.1733030051552158,0.672249,True,True,official_T,128.0,official_T,128.0
isolet,audit,1800,exact_annular,64,0.1423495039429117,0.6590685,True,True,official_T,256.0,official_T,256.0
isolet,audit,1800,exact_annular,128,0.1016761781123848,0.669355,True,True,official_T,256.0,official_T,256.0
isolet,audit,1800,exact_annular,256,0.0769663059212936,0.665618,True,True,official_T,256.0,official_T,256.0
isolet,audit,1800,exact_annular,512,0.0499801896405201,0.6811525,True,True,official_T,512.0,official_T,512.0
isolet,audit,1800,official_E,32,0.3808517255810585,0.159147,True,True,official_T,64.0,official_T,64.0
isolet,audit,1800,official_E,64,0.1942161256486874,0.1707075,True,True,official_T,128.0,official_T,128.0
isolet,audit,1800,official_E,128,0.0861298645610085,0.1980395,True,True,official_T,256.0,official_T,256.0
isolet,audit,1800,official_E,256,0.0351056781949906,0.256086,False,False,,,,
isolet,audit,1800,official_E,512,0.0130033090083014,0.390525,False,False,,,,
isolet,audit,1800,official_O,32,0.3826089194593685,0.15044,True,True,official_T,64.0,official_T,64.0
isolet,audit,1800,official_O,64,0.1990380059741903,0.165526,True,True,official_T,128.0,official_T,128.0
isolet,audit,1800,official_O,128,0.0908884090803895,0.186532,True,True,official_T,256.0,official_T,256.0
isolet,audit,1800,official_O,256,0.0456917414072213,0.245622,True,True,official_T,512.0,official_T,512.0
isolet,audit,1800,official_O,512,0.0260750398807685,0.373059,False,False,,,,
isolet,audit,1800,official_T,32,0.4238201004301129,0.107624,False,False,,,,
isolet,audit,1800,official_T,64,0.2412233264151308,0.1090695,False,False,,,,
isolet,audit,1800,official_T,128,0.1463506709678391,0.1211555,False,False,,,,
isolet,audit,1800,official_T,256,0.0759567674917443,0.1449225,False,False,,,,
isolet,audit,1800,official_T,512,0.0381568698230942,0.195865,False,False,,,,
isolet,audit,1800,projected_current,32,0.3633269016272943,0.36185,True,True,official_T,64.0,official_T,64.0
isolet,audit,1800,projected_current,64,0.1957854102015965,0.3770385,True,True,official_T,128.0,official_T,128.0
isolet,audit,1800,projected_current,128,0.1165884189522333,0.4248445,True,True,official_T,256.0,official_T,256.0
isolet,audit,1800,projected_current,256,0.0566328013712079,0.512506,True,True,official_T,512.0,official_T,512.0
isolet,audit,1800,projected_current,512,0.0244432424581632,0.6695855,True,True,official_E,512.0,official_E,512.0
isolet,audit,1800,projected_fast,32,0.3441665257549925,0.3622475,True,True,official_T,64.0,official_T,64.0
isolet,audit,1800,projected_fast,64,0.2039967506094909,0.378179,True,True,official_T,128.0,official_T,128.0
isolet,audit,1800,projected_fast,128,0.1120985832797192,0.427397,True,True,official_T,256.0,official_T,256.0
isolet,audit,1800,projected_fast,256,0.0557665527186393,0.515324,True,True,official_T,512.0,official_T,512.0
isolet,audit,1800,projected_fast,512,0.0230373624661612,0.672757,True,True,official_E,512.0,official_E,512.0
isolet,audit,1800,uniform_mc,32,0.6254050340136186,0.114627,True,True,official_T,32.0,official_T,32.0
isolet,audit,1800,uniform_mc,64,0.4058441474181027,0.129524,True,True,official_T,64.0,official_T,64.0
isolet,audit,1800,uniform_mc,128,0.30642992525945,0.1688975,True,True,official_T,64.0,official_T,64.0
isolet,audit,1800,uniform_mc,256,0.2125209454038558,0.2505545,True,True,official_T,128.0,official_T,128.0
isolet,audit,1800,uniform_mc,512,0.1420751519719374,0.4001705,True,True,official_T,256.0,official_T,256.0
isolet,audit,1800,exact,0,0.0,0.4247595,False,False,,,,
isolet,test,1800,ann_E_multi,32,0.2807440930457077,0.5527355,True,True,official_T,64.0,official_T,64.0
isolet,test,1800,ann_E_multi,64,0.1402180361662978,0.570079,True,True,official_T,256.0,official_T,256.0
isolet,test,1800,ann_E_multi,128,0.0559999805310919,0.618594,True,True,official_T,512.0,official_T,512.0
isolet,test,1800,ann_E_multi,256,0.0276928840947856,0.7062995,True,True,official_O,512.0,official_O,512.0
isolet,test,1800,ann_E_multi,512,0.0119277182374256,0.9207755,True,True,exact,0.0,exact,0.0
isolet,test,1800,ann_E_single,32,0.3836953423343993,0.3167055,True,True,official_T,64.0,official_T,64.0
isolet,test,1800,ann_E_single,64,0.1912665744685822,0.336235,True,True,official_T,128.0,official_T,128.0
isolet,test,1800,ann_E_single,128,0.0807774939205886,0.381626,True,True,official_T,256.0,official_T,256.0
isolet,test,1800,ann_E_single,256,0.0359178261250016,0.466238,True,True,official_E,256.0,official_E,256.0
isolet,test,1800,ann_E_single,512,0.0142418432057113,0.6763425,True,True,exact,0.0,exact,0.0
isolet,test,1800,ann_T_multi,32,0.3424927274695107,0.5144985,True,True,official_T,64.0,official_T,64.0
isolet,test,1800,ann_T_multi,64,0.2108229871726955,0.516893,True,True,official_T,128.0,official_T,128.0
isolet,test,1800,ann_T_multi,128,0.1144491958753358,0.5669175,True,True,official_T,256.0,official_T,256.0
isolet,test,1800,ann_T_multi,256,0.0582025373137657,0.6535885,True,True,official_T,512.0,official_T,512.0
isolet,test,1800,ann_T_multi,512,0.0287659696120309,0.8360245,True,True,official_O,512.0,official_O,512.0
isolet,test,1800,ann_T_single,32,0.4398995040185426,0.2628275,True,True,official_T,64.0,official_T,64.0
isolet,test,1800,ann_T_single,64,0.2646520935357012,0.2827885,True,True,official_T,128.0,official_T,128.0
isolet,test,1800,ann_T_single,128,0.1449346241389278,0.329166,True,True,official_T,128.0,official_T,128.0
isolet,test,1800,ann_T_single,256,0.0759053285143855,0.414194,True,True,official_T,256.0,official_T,256.0
isolet,test,1800,ann_T_single,512,0.0375640996080323,0.591144,True,True,official_T,512.0,official_T,512.0
isolet,test,1800,exact_annular,32,0.1834667029798102,0.654774,True,True,official_T,128.0,official_T,128.0
isolet,test,1800,exact_annular,64,0.1433708815680124,0.6529255,True,True,official_T,256.0,official_T,256.0
isolet,test,1800,exact_annular,128,0.1131183826745163,0.656011,True,True,official_T,256.0,official_T,256.0
isolet,test,1800,exact_annular,256,0.0752952834871283,0.6597905,True,True,official_T,256.0,official_T,256.0
isolet,test,1800,exact_annular,512,0.0521340520118933,0.6875305,True,True,official_T,512.0,official_T,512.0
isolet,test,1800,official_E,32,0.3757772375996902,0.151838,True,True,official_T,64.0,official_T,64.0
isolet,test,1800,official_E,64,0.1841861148456385,0.16499,True,True,official_T,128.0,official_T,128.0
isolet,test,1800,official_E,128,0.082558944137979,0.1947515,True,True,official_T,256.0,official_T,256.0
isolet,test,1800,official_E,256,0.0354568560702913,0.249094,False,False,,,,
isolet,test,1800,official_E,512,0.0149772580759881,0.388809,False,False,,,,
isolet,test,1800,official_O,32,0.370566639683495,0.138913,True,True,official_T,64.0,official_T,64.0
isolet,test,1800,official_O,64,0.190209080931266,0.1529755,True,True,official_T,128.0,official_T,128.0
isolet,test,1800,official_O,128,0.0878749130808741,0.181373,True,True,official_T,256.0,official_T,256.0
isolet,test,1800,official_O,256,0.0463857531434563,0.2353345,True,True,official_T,512.0,official_T,512.0
isolet,test,1800,official_O,512,0.0262014953050351,0.3676055,False,False,,,,
isolet,test,1800,official_T,32,0.4406599481268029,0.105071,False,False,,,,
isolet,test,1800,official_T,64,0.2677257688588823,0.107166,False,False,,,,
isolet,test,1800,official_T,128,0.1446986788276576,0.1211815,False,False,,,,
isolet,test,1800,official_T,256,0.0714208655819339,0.142374,False,False,,,,
isolet,test,1800,official_T,512,0.0361295877125191,0.195783,False,False,,,,
isolet,test,1800,projected_current,32,0.3520774874551559,0.35795,True,True,official_T,64.0,official_T,64.0
isolet,test,1800,projected_current,64,0.2099214721277886,0.376077,True,True,official_T,128.0,official_T,128.0
isolet,test,1800,projected_current,128,0.1100268510525232,0.4230125,True,True,official_T,256.0,official_T,256.0
isolet,test,1800,projected_current,256,0.0529640970063207,0.506856,True,True,official_T,512.0,official_T,512.0
isolet,test,1800,projected_current,512,0.0220049764217347,0.6801845,True,True,official_E,512.0,official_E,512.0
isolet,test,1800,projected_fast,32,0.3578665503404964,0.3575905,True,True,official_T,64.0,official_T,64.0
isolet,test,1800,projected_fast,64,0.2121106272358483,0.374852,True,True,official_T,128.0,official_T,128.0
isolet,test,1800,projected_fast,128,0.1096429561736529,0.4248345,True,True,official_T,256.0,official_T,256.0
isolet,test,1800,projected_fast,256,0.0531016555761984,0.5092825,True,True,official_T,512.0,official_T,512.0
isolet,test,1800,projected_fast,512,0.0224741031859965,0.684386,True,True,official_E,512.0,official_E,512.0
isolet,test,1800,uniform_mc,32,0.565507943679159,0.1135465,True,True,official_T,32.0,official_T,32.0
isolet,test,1800,uniform_mc,64,0.4390715091617489,0.129294,True,True,official_T,64.0,official_T,64.0
isolet,test,1800,uniform_mc,128,0.3072356133081724,0.1685995,True,True,official_T,64.0,official_T,64.0
isolet,test,1800,uniform_mc,256,0.2268186830527536,0.249692,True,True,official_T,128.0,official_T,128.0
isolet,test,1800,uniform_mc,512,0.1392938788758316,0.4122505,True,True,official_T,256.0,official_T,256.0
isolet,test,1800,exact,0,0.0,0.4228905,False,False,,,,
