dataset,phase,budget,comparator,final_gain_percent,gain_ci_low,gain_ci_high,error_difference_percent_points,difference_ci_low,difference_ci_high
amazon,test,32,deann_median_time_ns,10.146231555688178,2.811276706054501,17.79752686984506,1.9459848185921225,0.5106892477348061,3.616144572771022
amazon,test,32,deann_original,13.02020930657809,7.188907745181272,18.500691993986592,2.5797081867803136,1.3729174457389934,3.7622032613145797
amazon,test,32,exact_annular,-62.62880910308066,-73.0686158546522,-51.73252173450806,-6.636630616233233,-7.53934811678332,-5.654046456655456
amazon,test,32,uniform_mc,32.13102492951951,18.846849124837735,45.19843478295228,8.158761967851316,4.11220314401499,14.003536127320833
amazon,test,64,deann_median_time_ns,10.935977353229342,2.388252069637411,20.447591129136974,1.394724523822957,0.2738238072203958,2.8171395156185937
amazon,test,64,deann_original,3.016275031897886,-3.3078434197097195,9.323183033114876,0.3532687487819805,-0.3789708979231637,1.1352366155724625
amazon,test,64,exact_annular,-54.839688095604714,-66.09519926113406,-45.12129778555425,-4.02296106870345,-4.687594667557887,-3.3997465910662785
amazon,test,64,uniform_mc,45.26941606817998,30.890913436472985,57.19062396309515,9.39524159694808,5.255107147731553,14.660785016285836
amazon,test,128,deann_median_time_ns,6.970008819536632,-5.562131952109325,20.3642929900848,0.5067319855493899,-0.3687332353630461,1.7016898137743743
amazon,test,128,deann_original,-16.18717353421588,-23.864402286677866,-9.147240243454053,-0.9422818073528051,-1.370765202928366,-0.5426607104628209
amazon,test,128,exact_annular,-34.48712674643648,-44.71207510064705,-25.797147905793246,-1.7343800465275145,-2.1767731845006737,-1.3397142743163168
amazon,test,128,uniform_mc,54.21915374070334,39.62663752099216,65.70419872526581,8.0100806519892,4.640960260036153,12.657399745886854
amazon,test,256,deann_median_time_ns,18.79438264155906,0.9789032248157575,38.94702948871238,0.8086883301012302,0.035577987691210476,2.1537246234382037
amazon,test,256,deann_original,-71.36014975363041,-84.50728159826386,-59.77092998000262,-1.4550740769735837,-1.6726394097488464,-1.2531099349935797
amazon,test,256,exact_annular,-14.669465144380878,-23.970268912985762,-6.114585277661333,-0.4469980994017447,-0.6976115545699949,-0.19245807052764788
amazon,test,256,uniform_mc,67.72870323104715,54.423382704476595,76.13135464532553,7.3332337259875615,4.237855143191452,10.87530500270859
amazon,test,512,deann_median_time_ns,31.801257819040817,12.304454643816474,52.16601181256937,0.5876875143595611,0.18349744781940777,1.3152354664878314
amazon,test,512,deann_original,-167.6389713305121,-185.45384991822488,-149.76782940323142,-0.7894128043271491,-0.8631928605912298,-0.7144381734346947
amazon,test,512,exact_annular,15.846358497377366,8.71101068258879,22.932656480883477,0.23732041248253674,0.12464593184884694,0.3576157783357618
amazon,test,512,uniform_mc,73.47531913644207,63.731185823118615,79.95060789956482,3.4911607389795907,2.2924080361867274,4.80680695413116
cifar10,audit,32,deann_mean_relative_error,23.774790312352078,17.166536138588878,30.117216676586754,9.448042160571596,6.680061902687511,12.420165070956791
cifar10,audit,32,deann_median_time_ns,23.818597651393492,17.740826673876956,29.72487246546164,9.470894098638194,6.815872868575563,12.357616910339742
cifar10,audit,32,deann_original,17.075648305982583,10.786735695814647,23.160586576458503,6.237619394955113,3.7854719401109542,8.70724199645625
cifar10,audit,32,exact_annular,-66.87390530829467,-84.58669760504827,-47.640883269174395,-12.139254352094547,-14.507548159669186,-9.635955884724892
