dataset,phase,n,method,budget,mean_error,median_latency_ms,mean_kernel_evaluations,observations,error_ci_low,error_ci_high,mean_error_percent,nondominated,dominators
cifar10_gist512,audit_prefix100,1800,exact_annular,128,0.0870151289769853,0.5443495,128.0,500,0.07578592967528673,0.10111774681277633,8.70151289769853,False,deann_mean_relative_error:M256;deann_original:M256;exact:M0;final:M256
cifar10_gist512,audit_prefix100,1800,exact_annular,256,0.05920174360403421,0.5505165,256.0,500,0.05193853219985064,0.06867361208627963,5.920174360403421,False,deann_mean_relative_error:M256;exact:M0
cifar10_gist512,audit_prefix100,1800,final,64,0.1751606460784701,0.3078805,64.0,500,0.16224183226911112,0.19002240237662776,17.51606460784701,False,deann_mean_relative_error:M128;deann_mean_relative_error:M256;deann_median_time_ns:M128;deann_median_time_ns:M256;deann_original:M128;deann_original:M256;uniform_mc:M256
cifar10_gist512,audit_prefix100,1800,final,128,0.10911322038082452,0.358874,128.0,500,0.09959622201270597,0.11967434336324624,10.911322038082453,False,deann_mean_relative_error:M128;deann_mean_relative_error:M256;deann_median_time_ns:M256;deann_original:M256
cifar10_gist512,audit_prefix100,1800,final,256,0.06072370202936851,0.45255,256.0,500,0.055434173503162446,0.06603326043357914,6.072370202936852,False,deann_mean_relative_error:M256;exact:M0
cifar10_gist512,audit_prefix100,1800,uniform_mc,64,0.2443916201552164,0.08678,64.0,500,0.22048595911580837,0.2682555712115398,24.43916201552164,False,deann_median_time_ns:M64;deann_median_time_ns:M128;deann_median_time_ns:M256;deann_original:M64;deann_original:M128
cifar10_gist512,audit_prefix100,1800,uniform_mc,128,0.19349062001771428,0.115586,128.0,500,0.16641334562141527,0.22569293263094242,19.34906200177143,False,deann_median_time_ns:M128;deann_median_time_ns:M256;deann_original:M128;deann_original:M256
cifar10_gist512,audit_prefix100,1800,uniform_mc,256,0.12443868530112807,0.19703,256.0,500,0.1090680368663688,0.14185980915964222,12.443868530112807,False,deann_median_time_ns:M256;deann_original:M128;deann_original:M256
cifar10_gist512,audit_prefix100,5000,deann_mean_relative_error,64,0.22143630709004813,0.4138545,64.164,500,0.1982060041257183,0.24683267237850476,22.143630709004814,False,deann_median_time_ns:M128;deann_median_time_ns:M256;deann_original:M128;deann_original:M256;uniform_mc:M128;uniform_mc:M256
cifar10_gist512,audit_prefix100,5000,deann_mean_relative_error,128,0.14679863150307146,0.419872,128.656,500,0.13493070914307925,0.15890235534247227,14.679863150307146,False,deann_mean_relative_error:M256;deann_median_time_ns:M256;deann_original:M128;deann_original:M256;uniform_mc:M256
cifar10_gist512,audit_prefix100,5000,deann_mean_relative_error,256,0.09467885725856783,0.4196315,258.908,500,0.08767951166777228,0.10175951899201592,9.467885725856782,False,deann_original:M256
cifar10_gist512,audit_prefix100,5000,deann_median_time_ns,64,0.2420365681988869,0.0582695,64.176,500,0.21950879020626485,0.2673014755052363,24.20365681988869,True,
cifar10_gist512,audit_prefix100,5000,deann_median_time_ns,128,0.17341596538323742,0.0648165,128.692,500,0.15346196317086533,0.19547646969679566,17.341596538323742,True,
cifar10_gist512,audit_prefix100,5000,deann_median_time_ns,256,0.12278191818823818,0.08043,258.904,500,0.11037618069188648,0.13540965497711407,12.278191818823817,True,
cifar10_gist512,audit_prefix100,5000,deann_original,64,0.23874951280774934,0.120888,64.268,500,0.21829361601802727,0.2623978928857956,23.874951280774933,False,deann_median_time_ns:M128;deann_median_time_ns:M256;uniform_mc:M128
cifar10_gist512,audit_prefix100,5000,deann_original,128,0.1430349083211801,0.1255115,129.316,500,0.13113947578876117,0.15504130961518958,14.30349083211801,False,deann_median_time_ns:M256
cifar10_gist512,audit_prefix100,5000,deann_original,256,0.09185540081275426,0.1558215,261.1,500,0.08335356809620931,0.10010631083867848,9.185540081275425,True,
cifar10_gist512,audit_prefix100,5000,exact,0,0.0,1.058745,5000.0,100,0.0,0.0,0.0,True,
cifar10_gist512,audit_prefix100,5000,exact_annular,64,0.11327151239341013,1.178843,64.0,500,0.10097739358503088,0.13030871857004556,11.327151239341013,False,deann_mean_relative_error:M256;deann_original:M256;exact:M0;exact_annular:M128;exact_annular:M256;final:M256
cifar10_gist512,audit_prefix100,5000,exact_annular,128,0.08228344829716787,1.173937,128.0,500,0.07308408191134298,0.09327989797425079,8.228344829716788,False,exact:M0
cifar10_gist512,audit_prefix100,5000,exact_annular,256,0.0642493105083236,1.178011,256.0,500,0.0566004502934187,0.07166696481481524,6.42493105083236,False,exact:M0
