dataset,phase,method,budget,mean_error,median_latency_ms,mean_kernel_evaluations,observations,error_ci_low,error_ci_high,mean_error_percent,nondominated,dominators
cifar10,audit,deann_median_time_ns,512,0.07961351341814644,0.431272,533.658,1000,0.07435229831255188,0.08518798126057671,7.961351341814645,True,
cifar10,audit,deann_original,32,0.36529326929096495,0.2600935,32.198,1000,0.34488922983510295,0.387589730223994,36.5293269290965,False,deann_median_time_ns:M64;deann_median_time_ns:M128;uniform_mc:M64
cifar10,audit,deann_original,64,0.2375044428706855,0.299425,64.888,1000,0.22548671442148951,0.2512560956127622,23.75044428706855,False,deann_median_time_ns:M128;deann_median_time_ns:M256
cifar10,audit,deann_original,128,0.13548748289955428,0.3700995,131.382,1000,0.12814888428346652,0.14235050689153209,13.548748289955428,False,deann_median_time_ns:M256
cifar10,audit,deann_original,256,0.07823981141517108,0.499288,269.994,1000,0.07303013549212706,0.08379579419886704,7.823981141517108,True,
cifar10,audit,deann_original,512,0.04670137180598206,0.77404,571.09,1000,0.043420037009605394,0.0499813939448667,4.670137180598206,True,
cifar10,audit,exact,0,0.0,2.090968,1800.0,200,0.0,0.0,0.0,True,
cifar10,audit,exact_annular,32,0.18152453182046885,2.0511255,32.0,1000,0.16555107948270206,0.2018917300177351,18.152453182046884,False,deann_mean_relative_error:M128;deann_mean_relative_error:M256;deann_mean_relative_error:M512;deann_median_time_ns:M128;deann_median_time_ns:M256;deann_median_time_ns:M512;deann_original:M128;deann_original:M256;deann_original:M512;exact_annular:M64;exact_annular:M128;exact_annular:M256;final:M128;final:M256;final:M512;uniform_mc:M256;uniform_mc:M512
cifar10,audit,exact_annular,64,0.127237586670787,2.036736,64.0,1000,0.11948319063521189,0.13610795889705293,12.7237586670787,False,deann_mean_relative_error:M128;deann_mean_relative_error:M256;deann_mean_relative_error:M512;deann_median_time_ns:M256;deann_median_time_ns:M512;deann_original:M256;deann_original:M512;final:M128;final:M256;final:M512;uniform_mc:M512
cifar10,audit,exact_annular,128,0.08984881568886761,2.042037,128.0,1000,0.08458993923894512,0.09534082073371357,8.984881568886761,False,deann_mean_relative_error:M256;deann_mean_relative_error:M512;deann_median_time_ns:M512;deann_original:M256;deann_original:M512;final:M256;final:M512
cifar10,audit,exact_annular,256,0.06776184432401425,2.045398,256.0,1000,0.06300160697059098,0.07253534385178363,6.776184432401425,False,deann_mean_relative_error:M256;deann_mean_relative_error:M512;deann_original:M512;final:M256;final:M512
cifar10,audit,exact_annular,512,0.042585764302251,2.055718,512.0,1000,0.03964872033538521,0.045763582498532344,4.2585764302251,False,deann_mean_relative_error:M512;final:M512
cifar10,audit,final,32,0.30291707534141415,0.4490235,32.0,1000,0.28366196640367713,0.32335343594409754,30.291707534141416,False,deann_median_time_ns:M64;deann_median_time_ns:M128;deann_median_time_ns:M256;deann_median_time_ns:M512;deann_original:M64;deann_original:M128;uniform_mc:M128
cifar10,audit,final,64,0.1929145210664598,0.542239,64.0,1000,0.18301361948447095,0.20487777094123805,19.291452106645977,False,deann_median_time_ns:M128;deann_median_time_ns:M256;deann_median_time_ns:M512;deann_original:M128;deann_original:M256
cifar10,audit,final,128,0.11598450749988756,0.713973,128.0,1000,0.11010325401304683,0.12230635111087523,11.598450749988757,False,deann_median_time_ns:M256;deann_median_time_ns:M512;deann_original:M256
cifar10,audit,final,256,0.0582866966018769,1.043557,256.0,1000,0.054789722908244506,0.061548310121001405,5.82866966018769,False,deann_original:M512
cifar10,audit,final,512,0.026022230179695925,1.7327525,512.0,1000,0.024394006260953005,0.027762812565031422,2.6022230179695924,True,
cifar10,audit,uniform_mc,32,0.4237192203886768,0.1529645,32.0,1000,0.3943422335999759,0.4567451374489292,42.37192203886768,False,deann_median_time_ns:M32;deann_median_time_ns:M64
cifar10,audit,uniform_mc,64,0.3233902578738145,0.2592185,64.0,1000,0.30120638068631433,0.3479924896937423,32.339025787381445,False,deann_median_time_ns:M64;deann_median_time_ns:M128
cifar10,audit,uniform_mc,128,0.22211339265072186,0.432312,128.0,1000,0.20705735415821577,0.23926692792175525,22.211339265072187,False,deann_median_time_ns:M128;deann_median_time_ns:M256;deann_median_time_ns:M512;deann_original:M128
cifar10,audit,uniform_mc,256,0.15412188667064408,0.7568805,256.0,1000,0.14223364133778052,0.16709402559269662,15.412188667064408,False,deann_median_time_ns:M256;deann_median_time_ns:M512;deann_original:M128;deann_original:M256;final:M128
cifar10,audit,uniform_mc,512,0.09803076089927862,1.4165825,512.0,1000,0.0910719838133822,0.10549121939532118,9.803076089927862,False,deann_median_time_ns:M512;deann_original:M256;deann_original:M512;final:M256
cifar10,test,deann_mean_relative_error,32,0.38690870986055725,0.9899855,32.28,1000,0.3667132894505588,0.4074137907412355,38.69087098605573,False,deann_median_time_ns:M64;deann_median_time_ns:M128;deann_median_time_ns:M256;deann_median_time_ns:M512;deann_original:M32;deann_original:M64;deann_original:M128;deann_original:M256;deann_original:M512;final:M32;final:M64;final:M128;uniform_mc:M64;uniform_mc:M128;uniform_mc:M256
cifar10,test,deann_mean_relative_error,64,0.21539246330581416,1.1216635,65.17,1000,0.20574906125707018,0.2257917161206316,21.539246330581417,False,deann_median_time_ns:M128;deann_median_time_ns:M256;deann_median_time_ns:M512;deann_original:M128;deann_original:M256;deann_original:M512;final:M64;final:M128;final:M256;uniform_mc:M256
cifar10,test,deann_mean_relative_error,128,0.10427094957848185,1.2262035,132.67,1000,0.09910963732918487,0.10954681657669259,10.427094957848185,False,deann_median_time_ns:M512;deann_original:M256;deann_original:M512;final:M256
cifar10,test,deann_mean_relative_error,256,0.04343674848422374,1.4461905,275.588,1000,0.04113397403423188,0.04574173019682238,4.343674848422374,True,
cifar10,test,deann_mean_relative_error,512,0.012996411642285287,1.9650835,596.808,1000,0.012060941569469007,0.013868525696814644,1.2996411642285286,True,
cifar10,test,deann_median_time_ns,32,0.3974498842061462,0.1175875,32.132,1000,0.3718987066703806,0.4222703845661406,39.74498842061462,True,
cifar10,test,deann_median_time_ns,64,0.26728481009141725,0.13325,64.462,1000,0.2521188284734968,0.28212966728387645,26.728481009141724,True,
cifar10,test,deann_median_time_ns,128,0.17852524999370117,0.1795565,129.968,1000,0.16913991769089354,0.18799727417852363,17.852524999370118,True,
cifar10,test,deann_median_time_ns,256,0.11556628129908579,0.2615255,263.355,1000,0.10835885389462518,0.12387353468693434,11.55662812990858,True,
cifar10,test,deann_median_time_ns,512,0.07262779771077303,0.412623,536.681,1000,0.0678199585339595,0.07788750591119724,7.262779771077303,True,
cifar10,test,deann_original,32,0.3779927136076046,0.2697515,32.18,1000,0.35916458404302987,0.39761807378777475,37.799271360760464,False,deann_median_time_ns:M64;deann_median_time_ns:M128;deann_median_time_ns:M256;uniform_mc:M64
cifar10,test,deann_original,64,0.21948919429424196,0.3095395,64.806,1000,0.20908476312187702,0.22984671370240414,21.948919429424198,False,deann_median_time_ns:M128;deann_median_time_ns:M256
cifar10,test,deann_original,128,0.12930651714391925,0.3905185,131.502,1000,0.12271135793008021,0.1358720371866048,12.930651714391924,False,deann_median_time_ns:M256
cifar10,test,deann_original,256,0.08183034329817414,0.534188,269.978,1000,0.07689174471907603,0.08681194499159477,8.183034329817414,False,deann_median_time_ns:M512
cifar10,test,deann_original,512,0.04510052731738914,0.8071775,570.74,1000,0.04212892669275959,0.04810918379468816,4.510052731738914,True,
cifar10,test,exact,0,0.0,2.110189,1800.0,200,0.0,0.0,0.0,True,
cifar10,test,exact_annular,32,0.17543404813837454,2.048662,32.0,1000,0.1633625469042446,0.18884178054692927,17.543404813837455,False,deann_mean_relative_error:M128;deann_mean_relative_error:M256;deann_mean_relative_error:M512;deann_median_time_ns:M256;deann_median_time_ns:M512;deann_original:M128;deann_original:M256;deann_original:M512;exact_annular:M64;exact_annular:M128;exact_annular:M256;final:M128;final:M256;final:M512;uniform_mc:M256;uniform_mc:M512
cifar10,test,exact_annular,64,0.1297995078369139,2.036047,64.0,1000,0.1216610348113606,0.1383072357618763,12.979950783691391,False,deann_mean_relative_error:M128;deann_mean_relative_error:M256;deann_mean_relative_error:M512;deann_median_time_ns:M256;deann_median_time_ns:M512;deann_original:M128;deann_original:M256;deann_original:M512;final:M128;final:M256;final:M512;uniform_mc:M512
cifar10,test,exact_annular,128,0.0943123248371801,2.038964,128.0,1000,0.0877968919294473,0.10167506486938585,9.431232483718011,False,deann_mean_relative_error:M256;deann_mean_relative_error:M512;deann_median_time_ns:M512;deann_original:M256;deann_original:M512;final:M256;final:M512
cifar10,test,exact_annular,256,0.06602088606840263,2.045316,256.0,1000,0.061635247317387135,0.07065715575708002,6.6020886068402636,False,deann_mean_relative_error:M256;deann_mean_relative_error:M512;deann_original:M512;final:M256;final:M512
cifar10,test,exact_annular,512,0.044046000974225404,2.0576985,512.0,1000,0.04076894461688522,0.04759588539545157,4.4046000974225405,False,deann_mean_relative_error:M256;deann_mean_relative_error:M512;final:M512
cifar10,test,final,32,0.29523692956372377,0.4483235,32.0,1000,0.27753220875776996,0.31277584212957854,29.523692956372376,False,deann_median_time_ns:M64;deann_median_time_ns:M128;deann_median_time_ns:M256;deann_median_time_ns:M512;deann_original:M64;deann_original:M128;uniform_mc:M128
cifar10,test,final,64,0.18921042837879634,0.5413285,64.0,1000,0.17713597442554105,0.2016150338757276,18.921042837879636,False,deann_median_time_ns:M128;deann_median_time_ns:M256;deann_median_time_ns:M512;deann_original:M128;deann_original:M256
cifar10,test,final,128,0.11239368781111637,0.7129485,128.0,1000,0.10557968806366327,0.11918864096964966,11.239368781111638,False,deann_median_time_ns:M512;deann_original:M256
cifar10,test,final,256,0.059017964236125306,1.0428545,256.0,1000,0.05618423691097529,0.06167662533013426,5.901796423612531,False,deann_original:M512
cifar10,test,final,512,0.02517561648783075,1.7325405,512.0,1000,0.023785223582041454,0.026690242772826805,2.517561648783075,True,
cifar10,test,uniform_mc,32,0.421562919238302,0.1524495,32.0,1000,0.3863577619914186,0.46887710842313146,42.1562919238302,False,deann_median_time_ns:M32;deann_median_time_ns:M64
cifar10,test,uniform_mc,64,0.31154236787074024,0.2604695,64.0,1000,0.2916697222474462,0.33347772293276845,31.154236787074023,False,deann_median_time_ns:M64;deann_median_time_ns:M128
cifar10,test,uniform_mc,128,0.2198982212649638,0.4323255,128.0,1000,0.20489197939381384,0.2346626307761026,21.98982212649638,False,deann_median_time_ns:M128;deann_median_time_ns:M256;deann_median_time_ns:M512;deann_original:M64;deann_original:M128
cifar10,test,uniform_mc,256,0.15289845816605713,0.7578735,256.0,1000,0.14204280025968852,0.16348084394081022,15.289845816605713,False,deann_median_time_ns:M256;deann_median_time_ns:M512;deann_original:M128;deann_original:M256;final:M128
cifar10,test,uniform_mc,512,0.0996409263335641,1.414708,512.0,1000,0.09211495312486813,0.10764786232753443,9.96409263335641,False,deann_median_time_ns:M512;deann_original:M256;deann_original:M512;final:M256
