dataset,query_id,raw_row_id,grouping,candidate_size,candidate_fraction,mass_recall,variance_ratio
isolet,0,2479,old_annuli,1297,0.7205555555555555,0.9883996067873952,1.0060943626263412
isolet,0,2479,hamming_quantile,1297,0.7205555555555555,0.9883996067873952,0.9507480672386632
isolet,0,2479,real_quantile,1297,0.7205555555555555,0.9883996067873952,0.9398655009000596
isolet,0,2479,random_quantile,1297,0.7205555555555555,0.9883996067873952,1.002150929837646
isolet,0,2479,ordered_quantile,1297,0.7205555555555555,0.9883996067873952,0.6892276830165204
isolet,1,4270,old_annuli,1772,0.9844444444444445,0.997775058324012,1.0137375404027762
isolet,1,4270,hamming_quantile,1772,0.9844444444444445,0.997775058324012,0.8862788712088588
isolet,1,4270,real_quantile,1772,0.9844444444444445,0.997775058324012,0.9282809403691016
isolet,1,4270,random_quantile,1772,0.9844444444444445,0.997775058324012,1.0124046504163782
isolet,1,4270,ordered_quantile,1772,0.9844444444444445,0.997775058324012,0.528709914326763
isolet,2,3910,old_annuli,1791,0.995,0.999436290332681,0.9947257186507332
isolet,2,3910,hamming_quantile,1791,0.995,0.999436290332681,0.9712690719388826
isolet,2,3910,real_quantile,1791,0.995,0.999436290332681,0.9929624374058112
isolet,2,3910,random_quantile,1791,0.995,0.999436290332681,1.0034168745717502
isolet,2,3910,ordered_quantile,1791,0.995,0.999436290332681,0.7845861326828073
isolet,3,4477,old_annuli,1779,0.9883333333333332,0.9999794564511768,1.013896263601593
isolet,3,4477,hamming_quantile,1779,0.9883333333333332,0.9999794564511768,0.9227964739256228
isolet,3,4477,real_quantile,1779,0.9883333333333332,0.9999794564511768,0.9702717336398656
isolet,3,4477,random_quantile,1779,0.9883333333333332,0.9999794564511768,0.9939496640132599
isolet,3,4477,ordered_quantile,1779,0.9883333333333332,0.9999794564511768,0.6991019382536378
isolet,4,2365,old_annuli,1794,0.9966666666666668,0.999666093941974,1.013683555132458
isolet,4,2365,hamming_quantile,1794,0.9966666666666668,0.999666093941974,0.9884081526792914
isolet,4,2365,real_quantile,1794,0.9966666666666668,0.999666093941974,0.9734018323795516
isolet,4,2365,random_quantile,1794,0.9966666666666668,0.999666093941974,1.007533296678823
isolet,4,2365,ordered_quantile,1794,0.9966666666666668,0.999666093941974,0.4824491431443828
isolet,5,2761,old_annuli,1797,0.9983333333333332,0.9999950941614888,1.0139359932960983
isolet,5,2761,hamming_quantile,1797,0.9983333333333332,0.9999950941614888,0.8773036464310418
isolet,5,2761,real_quantile,1797,0.9983333333333332,0.9999950941614888,0.9192180759812242
isolet,5,2761,random_quantile,1797,0.9983333333333332,0.9999950941614888,1.0086665078430364
isolet,5,2761,ordered_quantile,1797,0.9983333333333332,0.9999950941614888,0.7159502089349159
isolet,6,3765,old_annuli,1280,0.7111111111111111,0.9533312758133028,1.0048884577830477
isolet,6,3765,hamming_quantile,1280,0.7111111111111111,0.9533312758133028,0.9579574563829258
isolet,6,3765,real_quantile,1280,0.7111111111111111,0.9533312758133028,0.9833158986183146
isolet,6,3765,random_quantile,1280,0.7111111111111111,0.9533312758133028,1.0001813773635078
isolet,6,3765,ordered_quantile,1280,0.7111111111111111,0.9533312758133028,0.4752339791794831
isolet,7,3041,old_annuli,1791,0.995,0.9999914353510312,1.01402545004658
isolet,7,3041,hamming_quantile,1791,0.995,0.9999914353510312,0.9639706521149392
isolet,7,3041,real_quantile,1791,0.995,0.9999914353510312,0.9675210394934584
isolet,7,3041,random_quantile,1791,0.995,0.9999914353510312,0.9944938341554472
isolet,7,3041,ordered_quantile,1791,0.995,0.9999914353510312,0.9112165878220698
isolet,8,4309,old_annuli,1791,0.995,0.9999997762714972,1.0058036250336777
isolet,8,4309,hamming_quantile,1791,0.995,0.9999997762714972,0.8363455874938455
isolet,8,4309,real_quantile,1791,0.995,0.9999997762714972,0.9734606738663376
isolet,8,4309,random_quantile,1791,0.995,0.9999997762714972,0.9967123706660008
isolet,8,4309,ordered_quantile,1791,0.995,0.9999997762714972,0.4327034385103764
isolet,9,978,old_annuli,1312,0.7288888888888889,0.8526306569593637,0.9988746285661128
isolet,9,978,hamming_quantile,1312,0.7288888888888889,0.8526306569593637,0.9972168992280388
isolet,9,978,real_quantile,1312,0.7288888888888889,0.8526306569593637,0.9938840765051214
isolet,9,978,random_quantile,1312,0.7288888888888889,0.8526306569593637,0.9955556206062454
isolet,9,978,ordered_quantile,1312,0.7288888888888889,0.8526306569593637,0.488209402696572
