dataset,queries,mean_candidate_mass_recall,median_candidate_fraction,median_largest_old_cell,hamming_quantile,old_annuli,ordered_quantile,random_quantile,real_quantile
isolet,80,0.9721392382748837,0.7577777777777778,0.9970337407861192,0.9332795672080902,1.0049752621107892,0.5623528659708157,1.0014526825873489,0.9817623885147317
cifar10,80,0.9999999160853097,0.9927777777777778,0.47110696173381217,0.891731781258609,0.9569500137059521,0.48046148587856824,1.0017829545099302,0.8922005418696819
cifar10_gist512,80,0.9812865311610766,0.8716666666666667,0.610884132909778,0.7840208036494674,0.9861442575431925,0.352199238615148,1.0024847955054141,0.6729013212418649
amazon,80,0.9131970263665508,0.9986111111111112,0.7727601631364294,0.2901146823133609,0.3808571512704245,0.20823874423284625,1.0013367415582923,0.4570960597546375
