dataset,phase,h_factor,budget,queries,exact_annular_error_percent,final_error_percent,matched_single_error_percent,uniform_mc_error_percent,matched_gain_percent,matched_gain_ci_low,matched_gain_ci_high,variance_ratio_median,recovery,recovery_ci_low,recovery_ci_high,recovery_denominator,recovery_denominator_ci_low,recovery_denominator_ci_high,recovery_stable
amazon,test,0.5,128,200,29.13979872822544,22.979081060033213,24.451412450066876,48.32602615213058,6.02145742312582,-0.7381347518894813,11.505098260932916,0.9296568136984512,1.3211010446230957,1.1552542792044302,1.5686956831300891,0.1918622742390514,0.13229710313214696,0.26352872554487217,True
amazon,test,0.75,128,200,10.642660519064247,11.960233314757035,13.544958089781295,25.554048540655906,11.69973922783727,5.828482350921992,16.82695469071896,0.7793757839411377,0.9116398289827247,0.8210560144863573,0.9730270515690571,0.1491138802159166,0.10138637037390376,0.21013812269937387,True
amazon,test,1.0,128,200,5.029065074859348,6.763445121386863,8.213688646071855,14.773525773376065,17.656421946046883,12.075100030222472,22.546365023870866,0.6372881269634834,0.8220137470725786,0.7090166849274874,0.8875952666504052,0.09744460698516716,0.06343698366999873,0.14271997702428363,True
amazon,test,1.5,128,200,1.9872362021453953,3.0079387411213556,3.964528273319365,4.330794715242992,24.128710057025003,18.670127533690824,29.055431792665246,0.5447965837262401,0.5644646663304995,0.4628324157427668,0.6475431356353456,0.023435585130975968,0.019964090210252933,0.02716205560146498,True
amazon,test,2.0,128,200,1.1272834047721663,1.7370783556279923,2.324397875152737,2.283447140293625,25.26759836614255,19.519482723789302,30.26122752530921,0.5252553690177898,0.4725704222328049,0.3696580677889674,0.5684064833174448,0.011561637355214587,0.010141288392365985,0.012964749615460947,True
cifar10,audit,0.5,128,200,63.86726138442359,14.626030944925098,15.625390959048213,109.71568752812433,6.395744060051278,-7.2309868400499235,19.12206011979502,0.9633364699815586,2.0740004528217355,1.8019702485357716,2.5038786552752095,0.4584842614370074,0.3579688802834178,0.5611594718390044,True
cifar10,audit,0.75,128,200,22.573714454839042,16.65689801212824,18.503308576159732,47.263025770742594,9.97881301298984,3.681101261081643,16.06859654175541,0.7820122687148054,1.2396509310042805,1.157304444229279,1.3341239044695716,0.24689311315903553,0.21212035126665132,0.28269778855472766,True
cifar10,audit,1.0,128,200,8.984881568886752,11.598450749988759,14.813907782939568,22.211339265072194,21.70566389412717,16.740230608857445,26.839065855887288,0.5289899790769713,0.8023984016630721,0.7486748892676647,0.8566843035972215,0.1322645769618544,0.11763333737843865,0.1481117765255626,True
cifar10,audit,1.5,128,200,2.784039556529902,4.979749778709802,8.82454584112074,9.056312870741278,43.569336390037265,39.720467319304994,47.3963675286744,0.27123296075250874,0.649933905589704,0.6041036206758353,0.6951812905166193,0.06272273314211377,0.05721928822084512,0.0685365823740883,True
cifar10,audit,2.0,128,200,1.5766079884040873,2.644774638570406,5.720758186839035,5.410046809232228,53.76880909500987,50.67935482648198,56.83141659181623,0.1955680559753432,0.7213554982636813,0.6820894883230074,0.760169304721085,0.0383343882082814,0.03539193815490838,0.04137633877319568,True
cifar10,test,0.5,128,200,65.47759433957036,15.91686651047723,16.46238816257039,104.78627219274539,3.313745531365153,-16.778069871966498,18.78103998247527,0.9640614948409196,2.2608088222710347,1.911944575397294,2.761655418204609,0.39308677853175034,0.2979062065334324,0.49621701187291917,True
cifar10,test,0.75,128,200,23.566979279451523,16.48658564306906,18.77314350300397,45.847027559940976,12.179941305882135,4.3664771608679604,19.46588794598492,0.788665651356528,1.3177907672032618,1.2160853098637545,1.4493853035013975,0.22280048280489456,0.1885317099218416,0.26249646248238095,True
cifar10,test,1.0,128,200,9.431232483718016,11.239368781111637,14.888700111307173,21.989822126496378,24.5107450812584,19.237178250051226,29.96692869495182,0.5441934517082321,0.8560239366979108,0.7973907337286703,0.9203860436740272,0.12558589642778362,0.11200019271489842,0.13828194229242644,True
cifar10,test,1.5,128,200,2.8128820114874786,4.700805919712833,8.6505022422447,9.117924287598274,45.65857810247754,42.05062540053478,49.13376245772789,0.2812700231203482,0.700569191204551,0.6644726149733049,0.7375899700835635,0.06305042276110795,0.05775145302434085,0.06762336670043365,True
cifar10,test,2.0,128,200,1.5215100287760364,2.5127973442673857,5.654727671936664,5.38172332655393,55.56289374043739,52.561577311053945,58.215402312120275,0.19454582647186605,0.7432040047989116,0.7101135787540673,0.7757691696441316,0.03860213297777894,0.03562657987920191,0.04128637832936968,True
cifar10_gist512,audit,0.5,128,200,72.69880787653943,34.83617700270209,34.580536517787394,115.72728933866252,-0.7392611875272515,-16.919108230910844,15.299242646896053,0.9780364925124982,1.8799434604069605,1.5491365058776618,2.360939391638223,0.4302848146212309,0.3134954125449192,0.5561196858630536,True
cifar10_gist512,audit,0.75,128,200,22.952805771701243,20.704648340638634,23.110408214368075,45.18995090073357,10.4098545184232,3.5672864435487344,17.672020720076873,0.836956904899254,1.1010991931750926,0.9743685789905855,1.2541006153345142,0.2223714512903233,0.17419163039635494,0.2776168311616593,True
cifar10_gist512,audit,1.0,128,200,8.13953778728853,10.87686135100139,13.973761235697598,18.126343991694874,22.162249894357856,16.781176417410585,27.375660015078537,0.6300360170832981,0.7259060096204624,0.6162842433913124,0.8194447552766468,0.09986806204406344,0.08470909465158363,0.11600412769715882,True
cifar10_gist512,audit,1.5,128,200,2.606119871649948,4.265045174219036,6.702104669576222,6.498562714584627,36.3625997430339,32.17420541116363,40.70284249396641,0.4209643019624536,0.5738086930215901,0.4926627006370201,0.6459922284764976,0.03892442842934679,0.03487899727961533,0.04321289410584264,True
cifar10_gist512,audit,2.0,128,200,1.504151813229974,2.327357760735094,4.087750204678886,3.702530411198783,43.06506894498657,39.124347654164396,47.079332486292266,0.3564564855360196,0.625539500673032,0.5507591522032156,0.6928933712305722,0.02198378597968809,0.019497979532891813,0.02453564646364346,True
cifar10_gist512,test,0.5,128,200,65.23474088333269,38.05850957187762,35.00375306347854,102.7922502151618,-8.72693994515199,-27.24420892611324,7.404875226375204,0.9792399562581514,1.7235898171880062,1.4361390913241632,2.19173956048692,0.3755750933182912,0.2694901235546983,0.48195465731937714,True
cifar10_gist512,test,0.75,128,200,20.653857444095582,20.187097333961496,21.601837545099325,38.547001599603036,6.549166052120336,-2.0176375696348137,14.607525388718956,0.8345538467182863,1.026085974945349,0.9219066179886644,1.138574758925199,0.17893144155507454,0.14404456346853126,0.2162041175464799,True
cifar10_gist512,test,1.0,128,200,7.702383137398707,10.549423475422033,13.40443613142892,15.890221416472288,21.2990134610201,16.045963701077063,26.180833771062844,0.6174956543975404,0.6522842487864261,0.55456084584153,0.7348181565917289,0.08187838279073582,0.07102623011939102,0.0939425358903328,True
cifar10_gist512,test,1.5,128,200,2.4920041665765753,4.134887270886648,6.57394970179369,6.223976542232453,37.101933260024,32.05893780582667,41.338178321912274,0.4117906850280979,0.5597815474126216,0.48656953544568554,0.6266522585092842,0.03731972375655878,0.03362038911167808,0.041180710316893424,True
cifar10_gist512,test,2.0,128,200,1.4004134053940662,2.2841778690016836,3.9878296927935963,3.6240216413234663,42.72127836528677,38.24229710471806,46.60956778396231,0.35205285129313657,0.6025538809725487,0.5321720784111142,0.6624752080750056,0.022236082359293998,0.020087168725563175,0.024389324088674086,True
isolet,audit,0.5,128,200,58.01612951209664,8.397821028408273,8.567703651473757,129.05754135082043,1.98282562021459,-14.86464996181773,17.154932339636154,0.9804568588873557,1.6984420382344096,1.5356156489482133,1.9416682229289566,0.710414118387238,0.5671021348235835,0.8654649075654338,True
isolet,audit,0.75,128,200,24.27736921988173,13.639305965272424,15.540216895429007,67.69841237331794,12.232203340197367,5.795478862285971,18.537629186185747,0.8585928731831718,1.2449978738884224,1.1755945283767855,1.3351192813361281,0.4342104315343621,0.3541901547134241,0.5278618789340901,True
isolet,audit,1.0,128,200,10.167617811238532,11.658841895223373,15.013412076598554,30.642992525945033,22.343822738363105,17.352616520442893,27.045449583588322,0.647390032666022,0.9271698757769857,0.8819898746670068,0.9714841082176832,0.204753747147065,0.17599296104358159,0.2399687242725779,True
isolet,audit,1.5,128,200,2.764586023921809,5.30940690615061,8.661259816746014,9.598963073532284,38.699369162379845,34.33577617170672,42.81238535261299,0.3640295746042441,0.6276440612281052,0.5849749923746476,0.6754705918442473,0.06834377049610474,0.06353320196969324,0.07347628937225904,True
isolet,audit,2.0,128,200,1.3930424002132875,2.7964967283996396,5.3154537890683144,5.214259507055263,47.389313511653995,43.567102903179816,51.10794644821426,0.2772102311259306,0.6327205994986688,0.5878656235800697,0.6758452903250668,0.03821217106841975,0.03521608069390135,0.041290068549487594,True
isolet,test,0.5,128,200,65.95788360240698,7.225628259618201,8.164437870307596,129.04118000479875,11.49876605839154,-8.63200302249296,26.969125103469082,0.9809823264971576,1.9310270498255377,1.718548339664844,2.339032577182246,0.6308329640239176,0.48432480845824244,0.7613052672697005,True
isolet,test,0.75,128,200,28.070338043706357,12.982709099504298,14.506299083234875,65.42721105132618,10.502954440608569,3.5517355241288477,17.113259061127017,0.8714456686428171,1.403878262003476,1.3171196986106033,1.5165345128231311,0.3735687300761983,0.3089238904413977,0.44214122497270075,True
