dataset,pred,emp,random,oracle,single_error,multi_error,reduction,vs_random
ISOLET,0.6212008829697335,0.6409105551489986,1.0000346283508592,0.4885246610856152,14.346978371821894,11.286384901835254,21.33266943510407,"37.8% [34.4, 39.8]"
CIFAR-10-Small,0.5514637239546882,0.554724503878824,0.9999417148480828,0.4049637131471784,14.76426387500957,11.037851723969432,25.23940362070861,"44.9% [42.4, 48.4]"
GIST-512,0.6347566234668399,0.6384879561312172,1.0001522979345348,0.3409248570177275,13.323997842746952,10.642345755265762,20.126482450167714,"36.5% [34.3, 38.2]"
Amazon,0.6558533639326847,0.6553043088867004,0.9997163029394855,0.2008964981918868,8.564589680524225,6.920060683657203,19.20149193611296,"34.4% [30.9, 38.4]"
