dataset,level,queries,predicted_variance_ratio_median,empirical_over_predicted_median,mean_relative_error_percent,ordering_spearman_median
amazon,0.0,80,0.20089649819188676,0.9998870133703646,3.9789394553483612,0.9999999723638131
amazon,0.25,80,0.5527576492145236,1.0002857786242356,6.416111681876882,0.7525024332511236
amazon,0.5,80,0.8087711493802157,0.995742883515577,7.677828205503423,0.49882334419512275
amazon,0.75,80,0.9531091776795777,0.999829743948865,8.348030711981961,0.25169505033586037
amazon,1.0,80,1.000597582976904,0.998650777384056,8.551610508097143,-0.0032331427895
cifar10,0.0,80,0.40496371314717833,1.0050378760038186,9.636618571982131,1.0
cifar10,0.25,80,0.6558380344120935,0.9986751265221083,12.159799482415794,0.751002820132584
cifar10,0.5,80,0.8482120872402453,1.000425868541833,13.685645327168777,0.500518266332908
cifar10,0.75,80,0.9620663348231242,0.9965129105940441,14.502277210760145,0.2505133774846884
cifar10,1.0,80,1.0001887375933463,0.9967947325265454,14.782672948094788,0.0013516652381125797
cifar10_gist512,0.0,80,0.34092485701772757,1.0006794922170275,8.186195659171078,1.0
cifar10_gist512,0.25,80,0.6255897624045442,0.9970575027438611,10.76357812379413,0.7512152000373165
cifar10_gist512,0.5,80,0.8316282043534788,0.9993814749083219,12.28848750379761,0.502005636356695
cifar10_gist512,0.75,80,0.9588443258133339,1.0011656578887322,13.10305317658351,0.2517924026677655
cifar10_gist512,1.0,80,1.0002558428950663,0.9975477956623862,13.364731906967966,0.0017268938387228002
isolet,0.0,80,0.4885246610856152,0.9952962590869076,9.940408091469894,1.0
isolet,0.25,80,0.7106533427574351,1.0009942436799517,12.11488428789182,0.7503306205476821
isolet,0.5,80,0.8757002636620583,0.995742894263975,13.409925331939416,0.5002824859664867
isolet,0.75,80,0.9679940746091613,1.00024408683016,14.169589102264032,0.24940358244809205
isolet,1.0,80,1.0003361790149903,0.9979356047215802,14.362714458404884,0.00235379943369788
