n,projection_ns,low_dim_score_ns,sorting_and_strata_ns,kernel_ns,other_ns,time_ns
1000,0.008706066,0.015082865333333334,0.05983125466666667,0.062417997333333336,0.17093847266666667,0.316976656
1800,0.008913244,0.017792126000000002,0.10239646799999999,0.06512330399999999,0.17923714066666668,0.37346228266666665
5000,0.009063336666666666,0.02964879733333333,0.29010532666666666,0.073634542,0.182905128,0.5853571306666666
10000,0.010666988666666667,0.050531854,0.6111174733333334,0.08297254600000001,0.19192051066666668,0.9472093726666666
20000,0.01157357,0.08165217333333334,1.30635847,0.08427970600000001,0.19831422,1.6821781393333333
