dataset,block,partition,queries,predicted_variance_ratio_median,empirical_variance_ratio_median,empirical_over_predicted_median,empirical_over_predicted_p10,empirical_over_predicted_p90,mean_relative_error_percent,ordering_spearman_median,absolute_relative_bias_mean,mean_predicted_relative_variance,mean_empirical_relative_variance
amazon,equal_C,exact_order,80,0.20823874423284625,0.21428148679422382,0.9992670401043168,0.9345918325806479,1.0663173574289997,8.58300885484053,0.9999999757865496,0.002838118312837182,0.09850392268323267,0.09861411412626364
amazon,equal_C,norm_angle_hamming_quantiles,80,0.2901146823133609,0.2856751083249447,0.9895859835635206,0.9561949535813566,1.0533389966342037,9.23331456617031,0.9573300612838205,0.0022808129704423403,0.09931077429020249,0.10047070933148106
amazon,equal_C,projected,80,0.6286436349219426,0.6194433945464477,0.9996090128436619,0.9511387769826231,1.0472876734335597,11.329773630715167,0.6959260328458131,0.0038916797200969624,0.10348079080206854,0.10365707213262128
amazon,equal_C,random,80,1.0011087027830736,1.0001069031489378,0.9998620859283349,0.971689603407777,1.0234620825915888,13.563475652476548,-0.00450738381459885,0.0017543480192752255,0.11922866207855076,0.11944502687448
amazon,equal_C,single,80,1.0,1.0,0.9981320931971911,0.9382660082678654,1.0594180041804295,13.305767164341287,,0.006670248053118387,0.11685232120535094,0.10351850784328546
amazon,matched_H,exact_order,80,0.2008964981918868,0.20467305048707785,1.0017240770526055,0.9269174621696816,1.0599355242448163,3.982009890469977,0.9999999723638132,0.001366052321497109,0.0027320921962457256,0.0027293243323962516
amazon,matched_H,projected,80,0.6558533639326847,0.6553043088867004,0.9897487854431293,0.9307640650968293,1.0534827113446192,6.920060683657203,0.6807379691041249,0.0023392646038348777,0.007873639094241758,0.007852080516411414
amazon,matched_H,random,80,0.9997163029394855,1.0050262032512003,0.9982234570180026,0.9720763799090423,1.0240355585737935,8.553944710114996,0.0016579556581943896,0.001103287677684658,0.01193497690155039,0.011923652412078559
amazon,matched_H,single,80,1.0,1.0,0.9890767252404804,0.9517607593058603,1.0452059730541057,8.564589680524225,,0.0024997058191908545,0.011937391352904224,0.01190996971097744
amazon,old_sizes,exact_order,80,0.896047107735481,0.8810410262819415,1.0021641849968002,0.9373154135850581,1.0546834384212964,12.72131197089396,0.9999999757865496,0.004598852609035443,0.11403012938520156,0.11599008262827645
amazon,old_sizes,original_norm_angle,80,0.3808571512704244,0.3708438307259447,0.9969406500827213,0.9427063113095909,1.0490925843242533,10.879913667927648,,0.002628811193405468,0.11036045138518943,0.11163644016807528
