dataset,phase,h_factor,budget,queries,exact_annular_error_percent,final_error_percent,matched_single_error_percent,uniform_mc_error_percent,matched_gain_percent,matched_gain_ci_low,matched_gain_ci_high,variance_ratio_median,recovery,recovery_ci_low,recovery_ci_high,recovery_denominator,recovery_denominator_ci_low,recovery_denominator_ci_high,recovery_stable,classification,H_mass_median,kernel_CV_median,single_relative_variance_median,multi_relative_variance_median,variance_ratio_median_recomputed,exact_annular_opportunity_pp
amazon,test,0.5,128,200,29.13979872822544,22.979081060033213,24.451412450066876,48.32602615213058,6.02145742312582,-0.7381347518894813,11.505098260932916,0.9296568136984512,1.3211010446230955,1.1552542792044302,1.5686956831300891,0.1918622742390514,0.1322971031321469,0.2635287255448721,True,Positive but uncertain,0.45720866848521646,6.119130323141118,0.10826080158920375,0.09906171364563299,0.9296568136984512,19.18622742390514
amazon,test,0.75,128,200,10.642660519064249,11.960233314757035,13.544958089781296,25.554048540655906,11.69973922783727,5.828482350921992,16.82695469071896,0.7793757839411377,0.9116398289827248,0.8210560144863573,0.9730270515690572,0.1491138802159166,0.1013863703739037,0.2101381226993738,True,Supported,0.27346387561602586,2.837553909782647,0.031570525567150454,0.024889063630318897,0.7793757839411377,14.911388021591657
amazon,test,1.0,128,200,5.029065074859348,6.763445121386863,8.213688646071855,14.773525773376065,17.656421946046883,12.075100030222472,22.546365023870862,0.6372881269634834,0.8220137470725786,0.7090166849274874,0.8875952666504052,0.0974446069851671,0.0634369836699987,0.1427199770242836,True,Supported,0.16851674288595506,1.4921010499785603,0.0117830871885995,0.007640414343591299,0.6372881269634834,9.744460698516717
amazon,test,1.5,128,200,1.987236202145395,3.0079387411213556,3.964528273319365,4.330794715242992,24.128710057025003,18.670127533690824,29.05543179266525,0.5447965837262401,0.5644646663304995,0.4628324157427668,0.6475431356353456,0.0234355851309759,0.0199640902102529,0.0271620556014649,True,Supported,0.09171474979187415,0.6333780676479477,0.00272694268952525,0.0014475996725686001,0.5447965837262401,2.343558513097597
amazon,test,2.0,128,200,1.1272834047721665,1.7370783556279925,2.324397875152737,2.283447140293625,25.26759836614255,19.519482723789302,30.26122752530921,0.5252553690177898,0.4725704222328049,0.3696580677889674,0.5684064833174448,0.0115616373552145,0.0101412883923659,0.0129647496154609,True,Supported,0.0690030334231882,0.3588860289140625,0.0009284093885434999,0.00047967305386355,0.5252553690177898,1.1561637355214585
cifar10,audit,0.5,128,200,63.86726138442359,14.626030944925098,15.625390959048213,109.71568752812432,6.395744060051278,-7.2309868400499235,19.12206011979502,0.9633364699815586,2.0740004528217355,1.8019702485357716,2.5038786552752095,0.4584842614370074,0.3579688802834178,0.5611594718390044,True,Positive but uncertain,0.868340668899457,16.520911880502197,0.03000917534045555,0.029370510290847848,0.9633364699815586,45.84842614370073
cifar10,audit,0.75,128,200,22.57371445483904,16.65689801212824,18.503308576159732,47.263025770742594,9.97881301298984,3.681101261081643,16.06859654175541,0.7820122687148054,1.2396509310042805,1.157304444229279,1.3341239044695716,0.2468931131590355,0.2121203512666513,0.2826977885547276,True,Supported,0.48822947644129533,6.214519179017742,0.05363400002407425,0.0399610393341417,0.7820122687148054,24.689311315903556
cifar10,audit,1.0,128,200,8.984881568886752,11.59845074998876,14.813907782939568,22.21133926507219,21.70566389412717,16.740230608857445,26.839065855887288,0.5289899790769713,0.8023984016630721,0.7486748892676647,0.8566843035972215,0.1322645769618544,0.1176333373784386,0.1481117765255626,True,Supported,0.2512552949546233,2.965531024940886,0.03268221217391355,0.0170828841323486,0.5289899790769713,13.226457696185438
cifar10,audit,1.5,128,200,2.784039556529902,4.979749778709802,8.82454584112074,9.056312870741278,43.569336390037265,39.720467319304994,47.3963675286744,0.2712329607525087,0.649933905589704,0.6041036206758353,0.6951812905166193,0.0627227331421137,0.0572192882208451,0.0685365823740883,True,Supported,0.09698903835781669,1.269196705926681,0.0113949152440456,0.0032066941227607,0.27123296075250874,6.272273314211376
cifar10,audit,2.0,128,200,1.5766079884040871,2.644774638570406,5.720758186839035,5.410046809232228,53.76880909500987,50.67935482648198,56.83141659181623,0.1955680559753432,0.7213554982636813,0.6820894883230074,0.760169304721085,0.0383343882082814,0.0353919381549083,0.0413763387731956,True,Supported,0.0549075915771707,0.7612476831336414,0.00475980624135845,0.00093212540817615,0.1955680559753432,3.833438820828141
